ID,Stadium Name,City,Country,Straight (m),Square (m),Pitch Type,Surface,Floodlights,Capacity,Operational Status,Special Soil Details & Origin
122,Daren Sammy Stadium,Gros Islet,St Lucia,72,68,Natural,Grass,Yes,"15,000",Operational,Volcanic North St Lucia Clay: Provides good carry for fast bowlers.
304,De Beers Diamond Oval,Kimberley,South Africa,75,70,Natural,Grass,Yes,"11,000",Operational,Karoo Clay: Very dry soil; often leads to early cracking and turn.
138,Desert Springs,Almeria,Spain,70,65,Natural,Grass,No,"1,000",Operational,Ongar Loam: Imported from the UK; first grass square in Spain.
331,DY Patil Stadium,Mumbai,India,72,68,Natural,Grass,Yes,"55,000",Operational,Red Soil: Sourced from Kalyan; known for high bounce and outfield speed.
64,ACA-VDCA Stadium,Vizag,India,70,65,Natural,Grass,Yes,"25,000",Operational,Coastal Black Soil: High water table makes it a traditionally slow track.
237,Dreux Sport Club,Dreux,France,62,58,Synthetic,Grass,No,500,Operational,Synthetic Matting: Standard for ECN and domestic French cricket.
17,Dubai Intl. Stadium,Dubai,UAE,74,68,Natural,Grass,Yes,"25,000",Operational,Nandipur Clay: Imported from Pakistan to mimic Asian conditions.
58,Eden Gardens,Kolkata,India,68,64,Natural,Grass,Yes,"68,000",Operational,Alluvial Silt: Sourced locally; recently upgraded with foreign clay.
8,Eden Park,Auckland,New Zealand,65,55,Drop-in,Grass,Yes,"42,000",Operational,Patumahoe Clay: Famous for extremely short straight boundaries.
34,Edgbaston,Birmingham,UK,72,68,Natural,Grass,Yes,"25,000",Operational,Banbury Loam: Considered the fairest and loudest pitch in England.
137,Entebbe Cricket Oval,Entebbe,Uganda,68,64,Natural,Grass,No,"2,000",Operational,Lake Victoria Silt: Locally sourced; tends to favor slow bowling.
281,Estonian National Field,Tallinn,Estonia,65,60,Synthetic,Grass,No,"1,000",Operational,Synthetic Matting: Durable setup for Baltic weather.
206,Europa Sports Complex,Gibraltar,Gibraltar,62,58,Synthetic,Artificial,No,"1,500",Operational,Synthetic Matting: Part of a multi-purpose sports complex.
247,Faleata Oval No 2,Apia,Samoa,68,65,Natural,Grass,No,"1,500",Operational,Volcanic Pacific Soil: Highly mineralized; fast outfield.
220,GB Oval,Szodliget,Hungary,65,62,Natural,Grass,No,500,Operational,UK Loam: Imported to maintain a turf square in Central Europe.
161,GMHBA Stadium,Geelong,Australia,85,65,Drop-in,Grass,Yes,"40,000",Operational,Victorian Black Clay: Long and narrow AFL dimensions.
159,Gaddafi Stadium,Lahore,Pakistan,72,68,Natural,Grass,Yes,"34,000",Operational,Nandipur Clay: High clay content; a historic batting paradise.
199,Gahanga Intl. Stadium,Kigali,Rwanda,70,65,Natural,Grass,No,"10,000",Operational,Local Rwandan Soil: Developed as a dedicated high-standard cricket hub.
344,Geelong Cricket Ground,Geelong,Australia,75,70,Natural,Grass,No,"2,000",Operational,Victorian Loam: Separate from the AFL stadium; used for club play.
257,Gelephu Intl. Ground,Gelephu,Bhutan,65,62,Natural,Grass,No,"3,000",Operational,Himalayan Clay: Bhutan’s first natural grass international venue.
210,Goldenacre,Edinburgh,Scotland,68,64,Natural,Grass,No,"3,000",Operational,Banbury Loam: Imported from UK; standard for elite Scottish play.
275,Grainville,St Saviour,Jersey,70,65,Natural,Grass,No,"2,000",Operational,English Loam: Imported to survive the coastal humidity.
227,Grand Prairie Stadium,Dallas,USA,75,70,Natural,Grass,Yes,"15,000",Operational,Imported Clay: Designed specifically for professional T20 cricket.
134,Grange Cricket Club,Edinburgh,Scotland,70,65,Natural,Grass,No,"5,000",Operational,Ongar Loam: Imported from UK; Scotland's premier ground.
13,Green Park,Kanpur,India,72,66,Natural,Grass,Yes,"32,000",Operational,Ganga Alluvial Silt: Sourced locally; traditionally aids spin.
38,Greenfield Intl. Stadium,Trivandrum,India,70,65,Natural,Grass,Yes,"50,000",Operational,Local Red Soil Mix: Combines local soil with imported Maharashtra clay.
131,Gucherre Ground,Albergaria,Portugal,62,58,Synthetic,Grass,No,300,Operational,Synthetic Matting: Home for domestic Portuguese cricket.
243,Port Soif,Guernsey,Guernsey,65,60,Natural,Grass,No,"1,000",Operational,UK Loam: Coastal conditions lead to significant seam movement.
294,Gymkhana Club Ground,Nairobi,Kenya,72,68,Natural,Grass,No,"7,000",Operational,Kenyan Red Clay: Hard and fast surface at altitude.
251,Gymkhana (Dar-es-Salaam),Dar-es-Salaam,Tanzania,65,60,Natural,Grass,No,"2,000",Operational,Coastal Silt: Naturally occurring soil from the region.
191,Gymkhana (Nairobi),Nairobi,Kenya,72,68,Natural,Grass,No,"7,000",Operational,Kenyan Red Clay: Historic hub for Kenyan cricket since the 2003 WC.
180,Hagley Oval,Christchurch,New Zealand,78,72,Natural,Grass,Yes,"18,000",Operational,Patumahoe Clay: NZ's premier boutique test venue.
152,Happy Valley Ground,Episkopi,Cyprus,65,60,Natural,Grass,No,500,Operational,Local Limestone Clay: Very dry and favors slow bowlers.
287,Happy Valley Field 2,Episkopi,Cyprus,65,60,Natural,Grass,No,500,Operational,Same as ID 152. Primarily used for military and local leagues.
5,Harare Sports Club,Harare,Zimbabwe,75,70,Natural,Grass,Yes,"10,000",Operational,Mashonaland Red Clay: High-scoring ground at altitude.
51,Hazelaarweg,Rotterdam,Netherlands,70,66,Natural,Grass,No,"3,500",Operational,Dutch Loam: High-density clay to handle heavy rainfall.
106,Headingley,Leeds,UK,75,70,Natural,Grass,Yes,"18,000",Operational,Oxfordshire Loam: Known for swinging conditions due to local airflow.
320,HPCA Stadium,Dharamshala,India,70,65,Natural,Grass,Yes,"23,000",Operational,Ryegrass/Black Soil Mix: Winter-grade grass for high altitude.
43,Holkar Stadium,Indore,India,65,62,Natural,Grass,Yes,"30,000",Operational,Maharashtra Red Soil: Sourced for pace and bounce.
203,Hurlingham Club Ground,Buenos Aires,Argentina,65,60,Natural,Grass,No,500,Operational,Pampas Clay: Historic English-style square in South America.
91,ICC Academy Ground No 2,Dubai,UAE,70,66,Natural,Grass,Yes,"3,000",Operational,Nandipur Clay: Imported from Pakistan for training.
153,ICC Academy (Main),Dubai,UAE,72,68,Natural,Grass,Yes,"5,000",Operational,"Global Soils: Pitches use Bulli (AUS), Ongar (UK), and Pakistan clay."
312,ICC Global Academy,Dubai,UAE,72,68,Natural,Grass,Yes,"5,000",Operational,Same as ID 153. Premier high-performance hub.
193,Independence Park,Port Vila,Vanuatu,68,62,Natural,Grass,No,"1,000",Operational,Coral-based Clay: Highly porous and well-draining local soil.
84,Indian Association Ground,Singapore,Singapore,65,60,Natural,Grass,Yes,"1,000",Operational,Local Coastal Clay: Sourced from Jurong; high moisture retention.
175,Singapore (Field 2),Singapore,Singapore,65,60,Natural,Grass,Yes,"1,000",Operational,Same as ID 84. Key hub for domestic and T20I cricket.
154,Integrated Polytechnic,Kigali,Rwanda,68,64,Natural,Grass,No,"10,000",Operational,Kicukiro Clay: Local soil renovated for ICC accreditation.
346,International Sports Stdm,Coffs Harbour,Australia,82,72,Natural,Grass,Yes,"10,000",Operational,NSW Black Clay: Known for superior sub-surface drainage.
351,Coffs Harbour (Oval 2),Coffs Harbour,Australia,82,72,Natural,Grass,Yes,"10,000",Operational,Same as ID 346. Frequently hosts BBL and state cricket.
276,Ishoj Cricket Club,Ishoj,Denmark,62,58,Synthetic,Grass,No,500,Operational,Synthetic Matting: Durable setup for local league consistency.
32,JSCA Stadium,Ranchi,India,75,70,Natural,Grass,Yes,"50,000",Operational,Jharkhand Black Soil: Designed to prevent stadium shadows.
293,Jade Stadium,Christchurch,New Zealand,—,—,Natural,Grass,—,"38,000",Permanently Closed,Legacy name for AMI Stadium; dismantled.
270,Jimmy Powell Oval,George Town,Caymans,65,60,Natural,Grass,No,"1,000",Operational,Grand Cayman Red Soil: Volcanic-based soil; consistent low bounce.
260,Jinja Cricket Ground,Jinja,Uganda,66,62,Natural,Grass,No,"1,000",Operational,Nile River Silt: Sourced from river banks; favors spin.
183,John Davies Oval,Queenstown,New Zealand,75,70,Natural,Grass,No,"19,000",Operational,Otago Loam: Spectacular setting; traditionally pace-friendly.
350,Junction Oval,Melbourne,Australia,78,72,Natural,Grass,Yes,"7,000",Operational,Merri Creek Clay: Dedicated cricket-only boutique venue.
290,The Oval,London,UK,75,70,Natural,Grass,Yes,"27,500",Operational,Oxfordshire Loam: Historically the truest bounce in England.
25,Kensington Oval,Bridgetown,Barbados,72,68,Natural,Grass,Yes,"28,000",Operational,Coral-Lime Clay: World-famous for high bounce and carry.
133,Kerava National Ground,Kerava,Finland,65,60,Natural,Grass,No,"1,000",Operational,Imported UK Loam: High-clay loam to survive Finnish winters.
325,Khan Shaheb Osman Ali,Fatullah,Bangladesh,70,65,Natural,Grass,Yes,"25,000",Operational,Buriganga River Silt: High water table makes it damp and slow.
75,King George V Ground,Castel,Guernsey,65,60,Natural,Grass,No,"1,500",Operational,English Loam: Coastal climate ensures swing and seam.
242,KGV (Field 2),Castel,Guernsey,65,60,Natural,Grass,No,"1,500",Operational,Same as ID 75. Primary ICC hub in the Channel Islands.
77,Kingsmead,Durban,South Africa,72,68,Natural,Grass,Yes,"25,000",Operational,"Coastal Clay: Famous for the ""tide"" effect and sea-breeze swing."
208,Kingsmead (Durban),Durban,South Africa,72,68,Natural,Grass,Yes,"25,000",Operational,Same as ID 77. One of the world's most historic seam venues.
79,Kinrara Academy Oval,Kuala Lumpur,Malaysia,68,65,Natural,Grass,Yes,"4,000",Permanently Closed,Closed in 2022; land transitioned to commercial development.
277,Koge Cricket Club,Koge,Denmark,62,58,Synthetic,Grass,No,500,Operational,Synthetic Matting: Standard for domestic league consistency.
73,Kyambogo Cricket Oval,Kampala,Uganda,68,64,Natural,Grass,No,"1,000",Operational,Local Kampala Clay: Slower bounce; spinner's paradise.
92,La Manga (Bottom),Murcia,Spain,65,60,Natural,Grass,No,"1,000",Operational,Imported UK Loam: Maintains professional standards in arid heat.
235,La Manga (Top),Murcia,Spain,65,60,Natural,Grass,No,"1,000",Operational,Same as ID 92. High-usage training hub for European teams.
353,Lavington Sports Oval,Albury,Australia,82,70,Natural,Grass,Yes,"20,000",Operational,NSW Black Clay: Regional hub frequently used for BBL matches.
184,Lisicji Jarak Ground,Belgrade,Serbia,64,60,Synthetic,Grass,No,500,Operational,Standard Matting: Used for international associate Balkan fixtures.
50,Lord's,London,UK,72,68,Natural,Grass,Yes,"31,100",Operational,Oxfordshire Loam: Home of the famous 2.5m pitch slope.
236,Los Reyes Polo Club,Guacima,Costa Rica,60,55,Synthetic,Grass,No,300,Operational,Synthetic Matting: Used for domestic T20 league play.
74,Lugogo Cricket Oval,Kampala,Uganda,68,62,Natural,Grass,No,"2,000",Operational,Lake Victoria Basin Silt: Low bounce; spin-friendly.
15,M Chinnaswamy,Bangalore,India,65,60,Natural,Grass,Yes,"40,000",Operational,Karnataka Red Soil: Known for high-bounce and high scores.
60,MA Chidambaram (Chepauk),Chennai,India,70,66,Natural,Grass,Yes,"38,000",Operational,Local Red Soil: High iron content; famous for late-game turn.
332,M.Y. Singh (Mullanpur),Mohali,India,72,70,Natural,Grass,Yes,"33,000",Operational,Odisha Black Soil: Modern alternative to the old Mohali track.
93,MCA Stadium,Pune,India,75,70,Natural,Grass,Yes,"37,000",Operational,Volcanic Black Soil: Naturally hard soil; provides great carry.
359,Hambantota Stadium,Hambantota,Sri Lanka,75,70,Natural,Grass,Yes,"35,000",Operational,Southern Province Silt: Wind-affected; dry and often slow.
284,Malkerns Country Club,Malkerns,Eswatini,62,58,Natural,Grass,No,500,Operational,Local Red Clay: Hard soil; traditionally low bounce.
23,Mangaung Oval,Bloemfontein,South Africa,75,70,Natural,Grass,Yes,"20,000",Operational,Free State Clay: Known for being exceptionally batting-friendly.
71,Manuka Oval,Canberra,Australia,82,72,Drop-in,Grass,Yes,"13,550",Operational,"Local Canberra Clay: Consistent, reliable bounce for drop-ins."
278,Maple Leaf (NE Ground),King City,Canada,68,64,Natural,Grass,No,"7,000",Operational,Imported UK Loam: Maintains turf quality in cold weather.
254,Maple Leaf (NW Ground),King City,Canada,70,65,Natural,Grass,No,"7,000",Operational,Same as ID 278. Canada's primary international hub.
266,Marrara Stadium,Darwin,Australia,80,72,Natural,Grass,Yes,"15,000",Operational,"Darwin Black Clay: Used for ""winter"" cricket in the dry season."
126,Marsa Sports Club,Marsa,Malta,68,64,Natural,Grass,No,"1,000",Operational,Imported Loam: High maintenance to handle Mediterranean heat.
339,Marvel Stadium,Melbourne,Australia,82,70,Drop-in,Grass,Yes,"53,359",Operational,Merri Creek Clay: Only indoor cricket stadium with a roof.
6,McLean Park,Napier,New Zealand,70,65,Natural,Grass,Yes,"19,700",Operational,Patumahoe Clay: Historically high-scoring with fast outfield.
172,Meersen,Ghent,Belgium,62,58,Synthetic,Grass,No,300,Operational,ECN Standard Mat: Primary Belgian league venue.
1,MCG,Melbourne,Australia,84,75,Drop-in,Grass,Yes,"100,024",Operational,Merri Creek Clay: World's biggest cricket ground by area.
204,Mission Road Ground,Mong Kok,Hong Kong,65,60,Natural,Grass,No,"3,500",Operational,New Territories Clay: Humid conditions often assist swing.
246,Mladost Cricket Ground,Zagreb,Croatia,62,58,Synthetic,Grass,No,300,Operational,Synthetic Matting: Durable for emerging associate cricket.
139,Moara Vlasiei,Ilfov County,Romania,68,64,Natural,Grass,No,"1,000",Operational,Imported UK Loam: High clay content for Central European rain.
309,Mombasa Sports Club,Mombasa,Kenya,70,65,Natural,Grass,No,"2,000",Operational,Coastal Clay Silt: Slower bounce compared to Nairobi tracks.
305,Moses Mabhida Stadium,Durban,South Africa,72,68,Drop-in,Grass,Yes,"54,000",Operational,Local Black Soil: Occasional T20 hub; multi-purpose FIFA venue.
224,Mulpani Ground,Kathmandu,Nepal,70,65,Natural,Grass,No,"10,000",Operational,Kathmandu Valley Clay: Sourced locally; very high altitude.
336,Multan Cricket Stadium,Multan,Pakistan,75,70,Natural,Grass,Yes,"30,000",Operational,"Local Punjab Silt: Famous for being a very dry, flat track."
265,Namibia Ground,Windhoek,Namibia,70,65,Natural,Grass,No,"1,000",Operational,Arid Zone Clay: Hard and fast in the African heat.
198,Narendra Modi Stadium,Ahmedabad,India,75,70,Natural,Grass,Yes,"132,000",Operational,Hybrid Square: Features both Red and Black soil pitches.
228,Nassau County Intl.,New York,USA,72,68,Drop-in,Grass,No,"34,000",Permanently Closed,Modular stadium for 2024 World Cup; dismantled.
121,National Stadium,St George's,Grenada,72,68,Natural,Grass,Yes,"20,000",Operational,Grenadian Volcanic Soil: Rich soil; very green outfield.
125,National Sports Academy,Sofia,Bulgaria,65,60,Synthetic,Grass,No,500,Operational,Synthetic Matting: Standard for Bulgarian international play.
222,Nehru Stadium,Hamilton,Bermuda,70,65,Natural,Grass,Yes,"8,500",Operational,Bermuda Red Clay: Similar to ID 89; excellent drainage.
158,Wanderers Stadium,Karachi,Pakistan,72,68,Natural,Grass,Yes,"34,000",Operational,"Nandipur Clay: Known as a historic ""road"" for batters."
334,Newlands,Kochi,India,75,70,Natural,Grass,Yes,"55,000",Operational,Local Kerala Silt: High moisture often makes it slower.
289,NCF Oval 1,Johannesburg,South Africa,75,70,Natural,Grass,Yes,"28,000",Operational,"Highveld Clay: At altitude, the ball travels fast and far."
41,NCF Oval 2,Cape Town,South Africa,72,68,Natural,Grass,Yes,"25,000",Operational,Paarl Clay: Sourced locally; famous for seaming conditions.
261,North Sydney Oval,Abuja,Nigeria,68,64,Natural,Grass,No,"2,000",Operational,Central Nigeria Red Clay: Hard and dry surface.
262,OUTsurance Oval,Abuja,Nigeria,68,64,Natural,Grass,No,"2,000",Operational,Same as ID 261. Key facility for Nigerian cricket growth.
354,Old Trafford,Sydney,Australia,68,58,Natural,Grass,Yes,"16,000",Operational,Bulli Clay: Sourced from NSW. Historically high-scoring.
303,P Sara Oval,Bloemfontein,South Africa,75,70,Natural,Grass,Yes,"20,000",Operational,Same as ID 23. Known for high-scoring white-ball cricket.
35,Pallekele Intl.,Manchester,UK,73,68,Natural,Grass,Yes,"26,000",Operational,"Oxfordshire Loam: The ""spinning"" capital of English cricket."
318,Perth Stadium (Optus),Colombo,Sri Lanka,70,66,Natural,Grass,Yes,"15,000",Operational,Kelani River Silt: Historic ground; assists pace early.
86,Pierre Werner Ground,Kandy,Sri Lanka,75,70,Natural,Grass,Yes,"35,000",Operational,Kandy Clay: High humidity leads to significant swing.
72,Prairie View Complex,Perth,Australia,80,72,Drop-in,Grass,Yes,"60,000",Operational,Harvey WA Clay: Designed to mimic WACA's legendary pace.
99,Providence Stadium,Walferdange,Luxembourg,65,60,Natural,Grass,No,"1,000",Operational,Ongar Loam: Imported to handle heavy rainfall.
234,PCA IS Bindra Stdm,Houston,USA,72,68,Natural,Grass,No,"5,000",Operational,Waller County Clay: Local Texas soil; slow and consistent.
83,Queen's Park Oval,Guyana,Guyana,72,68,Natural,Grass,Yes,"15,000",Operational,Demerara River Silt: Low bounce; spinner's paradise.
301,Queens Sports Club,Mohali,India,75,70,Natural,Grass,Yes,"26,000",Operational,Punjab Black Soil: Known for having the best grass cover in India.
26,R Premadasa Stadium,Port of Spain,Trinidad,72,68,Natural,Grass,Yes,"20,000",Operational,"Local Caroni Clay: Traditional slow, spinning track."
167,Rajiv Gandhi Stadium,Bulawayo,Zimbabwe,72,68,Natural,Grass,No,"13,000",Operational,Local Red Clay: High-bounce and very flat surface.
120,Rangiri Dambulla,Colombo,Sri Lanka,70,66,Natural,Grass,Yes,"35,000",Operational,Kelani River Clay: Sourced locally; favors spinners under D/N.
81,Rawalpindi Stadium,Hyderabad,India,75,70,Natural,Grass,Yes,"39,000",Operational,Telangana Black Soil: Sourced locally; very hard and dry.
255,Riverside Ground,Dambulla,Sri Lanka,75,70,Natural,Grass,Yes,"16,800",Operational,Central Province Clay: Dry zone soil; seamer-friendly early.
100,Roma Cricket Ground,Rawalpindi,Pakistan,75,70,Natural,Grass,Yes,"28,000",Operational,Potohar Clay: Extremely hard surface; produces high pace.
12,Royal Brussels Ground,Chester-le-S,UK,75,70,Natural,Grass,Yes,"19,000",Operational,Oxfordshire Loam: Historically favors swing bowlers.
238,Ruaraka Sports Club,Spinaceto,Italy,64,60,Synthetic,Grass,No,500,Operational,Synthetic Matting: Home hub for Italian national team.
173,Sabina Park,Waterloo,Belgium,65,60,Natural,Grass,No,500,Operational,UK Loam: Imported to maintain professional standards.
258,Sano International,Nairobi,Kenya,68,64,Natural,Grass,No,"1,000",Operational,Kenyan Red Clay: Standard Nairobi high-altitude pitch.
28,Santarem Ground,Kingston,Jamaica,72,68,Natural,Grass,Yes,"20,000",Operational,Liguanea Plain Soil: Historically fast and bouncy.
194,Sao Fernando Polo,Sano,Japan,68,64,Natural,Grass,No,"2,500",Operational,Imported NSW Clay: Australia soil brought in for professional play.
205,Sao Fernando (Campo 2),Albergaria,Portugal,62,58,Synthetic,Grass,No,300,Operational,ECN Standard Mat: Used for European Cricket Network.
256,Saurashtra CA Stadium,Seropedica,Brazil,65,60,Natural,Grass,No,500,Operational,"Local Rio Clay: Sourced locally; very low, slow bounce."
288,Sawai Mansingh,Seropedica,Brazil,65,60,Natural,Grass,No,500,Operational,Same as ID 256. Primary hub for Brazilian cricket.
37,Saxton Oval,Rajkot,India,70,65,Natural,Grass,Yes,"28,000",Operational,Saurashtra Black Soil: Known as India's flattest track.
329,Scott Page Field,Jaipur,India,72,68,Natural,Grass,Yes,"30,000",Operational,Rajasthan Sand/Clay: Traditionally stay low and aids spin.
245,Seddon Park,Nelson,New Zealand,75,70,Natural,Grass,No,"6,000",Operational,Patumahoe Clay: Noted for exceptional boutique drainage.
124,Selangor Turf Club,Prague,Czech Rep,65,62,Synthetic,Grass,No,500,Operational,Synthetic Matting: Primary Czech international venue.
22,Senwes Park,Hamilton,New Zealand,72,68,Natural,Grass,Yes,"10,000",Operational,Patumahoe Clay: A world-famous batting paradise.
249,Shaheed Veer Narayan,Kuala Lumpur,Malaysia,68,64,Natural,Grass,No,"1,000",Operational,Klang River Silt: Often damp and assists slow bowlers.
24,Sharjah Stadium,Potchefstroom,South Africa,75,70,Natural,Grass,Yes,"18,000",Operational,North West Clay: Local high-clay soil; true bounce.
335,Sheikh Abu Naser,Raipur,India,78,72,Natural,Grass,Yes,"65,000",Operational,Chhattisgarh Soil: Large dimensions; plays similar to MCG.
136,Sheikh Zayed Stadium,Sharjah,UAE,65,62,Natural,Grass,Yes,"16,000",Operational,Imported Pakistan Clay: Record-breaking six-hitting hub.
324,Shere Bangla Stadium,Khulna,Bangladesh,70,65,Natural,Grass,Yes,"20,000",Operational,Coastal Alluvial Silt: Slower than the Chattogram track.
18,S.M. Scindia Stadium,Abu Dhabi,UAE,74,70,Natural,Grass,Yes,"20,000",Operational,Nandipur Clay: Imported; iconic for its large grass banks.
307,Sikh Union Ground,Mirpur,Bangladesh,70,66,Natural,Grass,Yes,"25,000",Operational,Mirpur Clay: Historically the best spinning track in Asia.
240,Simar Cricket Ground,Gwalior,India,72,70,Natural,Grass,Yes,"30,000",Operational,Red Soil: Sourced from Maharashtra; new T20-focused venue.
244,Singapore National Stdm,Nairobi,Kenya,68,64,Natural,Grass,No,"2,000",Operational,Kenyan Red Clay: Hard-baked soil; produces fast outfield.
239,Sir Vivian Richards,Rome,Italy,64,60,Synthetic,Grass,No,500,Operational,Synthetic Matting: Secondary hub for Italian league cricket.
264,Sky Stadium,Singapore,Singapore,70,66,Natural,Grass,Yes,"5,000",Operational,Australian Loam Mix: Specialized mix to counter humidity.
157,Solvangs Park,Antigua,Antigua,72,68,Natural,Grass,Yes,"10,000",Operational,North Sound Clay: Provides life for fast bowlers.
21,Sophia Gardens,Wellington,New Zealand,75,70,Drop-in,Grass,Yes,"34,500",Operational,"Patumahoe Clay: ""Cake Tin"" layout; heavily wind-affected."
